"address","price","bedrooms","bathrooms","sqft"
"201 10th Ave, Slater, IA 50244","$309,000","3","2","924"
"50287 210th Hwy, Slater, IA 50244","$475,000","4","2","2,147"
"1013 Redbud Dr, Slater, IA 50244","$429,900","4","3","1,884"
"506 8th Ave, Slater, IA 50244","$328,000","4","3","1,180"
"604 Story St, Slater, IA 50244","$200,000","3","1","1,359"
"611 1st Ave N, Slater, IA 50244","$265,000","4","2","1,116"
"101 Main St, Slater, IA 50244","$255,000","5","3","1,896"
"1015 Redbud Dr, Slater, IA 50244","$397,732","2","3","1,325"
"107 Main St, Slater, IA 50244","$242,500","4","2","1,515"
"52898 Highway 210, Slater, IA 50244","$400,000","4","1.75","2,550"
"604 Marshall St, Slater, IA 50244","$135,000","3","1","1,166"
"104 N Benton St, Slater, IA 50244","$210,000","3","2","1,056"
